task,baseline,roc_auc,average_precision,validation_fpr5_threshold,tpr_at_validation_fpr_5pct,test_null_false_positive_rate,test_examples,slope_abs_hz_per_day,detection_rate_at_validation_fpr5,n_test_signal,minimum_detectable_abs_slope_hz_per_day
linear_drift_sanity,weighted_linear_drift_with_crystal_offsets,0.8030555555555555,0.8691704607382092,7.590931630477066,0.55,0.0,120,0.5,0.0,5,14.375
linear_drift_sanity,weighted_linear_drift_with_crystal_offsets,0.8030555555555555,0.8691704607382092,7.590931630477066,0.55,0.0,120,1.0,0.0,5,14.375
linear_drift_sanity,weighted_linear_drift_with_crystal_offsets,0.8030555555555555,0.8691704607382092,7.590931630477066,0.55,0.0,120,2.0,0.0,5,14.375
linear_drift_sanity,weighted_linear_drift_with_crystal_offsets,0.8030555555555555,0.8691704607382092,7.590931630477066,0.55,0.0,120,3.0,0.0,5,14.375
linear_drift_sanity,weighted_linear_drift_with_crystal_offsets,0.8030555555555555,0.8691704607382092,7.590931630477066,0.55,0.0,120,5.0,0.2,5,14.375
linear_drift_sanity,weighted_linear_drift_with_crystal_offsets,0.8030555555555555,0.8691704607382092,7.590931630477066,0.55,0.0,120,7.5,0.8,5,14.375
linear_drift_sanity,weighted_linear_drift_with_crystal_offsets,0.8030555555555555,0.8691704607382092,7.590931630477066,0.55,0.0,120,10.0,0.6,5,14.375
linear_drift_sanity,weighted_linear_drift_with_crystal_offsets,0.8030555555555555,0.8691704607382092,7.590931630477066,0.55,0.0,120,15.0,1.0,5,14.375
linear_drift_sanity,weighted_linear_drift_with_crystal_offsets,0.8030555555555555,0.8691704607382092,7.590931630477066,0.55,0.0,120,20.0,1.0,5,14.375
linear_drift_sanity,weighted_linear_drift_with_crystal_offsets,0.8030555555555555,0.8691704607382092,7.590931630477066,0.55,0.0,120,30.0,1.0,5,14.375
linear_drift_sanity,weighted_linear_drift_with_crystal_offsets,0.8030555555555555,0.8691704607382092,7.590931630477066,0.55,0.0,120,45.0,1.0,5,14.375
linear_drift_sanity,weighted_linear_drift_with_crystal_offsets,0.8030555555555555,0.8691704607382092,7.590931630477066,0.55,0.0,120,65.0,1.0,5,14.375
