scope,period_days,frequency_hz,score
all_peak_b,365.0,3.1709791983764586e-08,0.3594629596523866
all_peak_b,350.1201690295261,3.3057433126904546e-08,0.3000851219934013
all_peak_b,335.84693907195526,3.4462347955460526e-08,0.22674806262080693
all_peak_b,322.1555810299232,3.592697055587879e-08,0.14473067475601908
all_peak_b,309.02237392877237,3.7453838461359504e-08,0.06776873564902175
all_peak_b,296.42456381875894,3.9045597048261964e-08,0.015638466393767203
all_peak_b,284.34032435267795,4.070500411935353e-08,0.0031049538723202375
all_peak_b,272.74871897060194,4.2434934681843835e-08,0.030657861347616944
all_peak_b,261.62966462622984,4.423838592848049e-08,0.08951466304064937
all_peak_b,250.9638969919831,4.611848243033858e-08,0.17391490259034725
all_peak_b,240.73293708257958,4.807848155029893e-08,0.2873593055717443
all_peak_b,230.91905923925214,5.012177908659471e-08,0.43973666979326254
all_peak_b,221.50526041914011,5.225191515620532e-08,0.6361200295954355
all_peak_b,212.47523073665312,5.4472580328288986e-08,0.8584560539926755
all_peak_b,203.81332520576595,5.6787622018281265e-08,1.0539861012012182
all_peak_b,195.50453663428098,5.9201051153738824e-08,1.1586183896552598
all_peak_b,187.5344696231055,6.171704912347522e-08,1.1485448294284275
all_peak_b,179.88931562549107,6.433997502202948e-08,1.0573796683841579
all_peak_b,172.55582902302118,6.707437320201999e-08,0.9401841064934828
all_peak_b,165.5213041769043,6.992498114746634e-08,0.8356484294537836
all_peak_b,158.77355341480916,7.289673768172108e-08,0.7557814254789221
all_peak_b,152.30088591509966,7.599479152423354e-08,0.6940885310232048
all_peak_b,146.0920874518939,7.922451021096715e-08,0.6364902776597674
all_peak_b,140.13640096584496,8.259148939392977e-08,0.565210137719351
all_peak_b,134.42350792698903,8.610156253592514e-08,0.45811376175889507
all_peak_b,128.9435104573678,8.976081101732354e-08,0.30055149424740435
all_peak_b,123.68691418244956,9.35755746723639e-08,0.13717463583030565
all_peak_b,118.64461178164288,9.755246277323869e-08,0.11534808287173703
all_peak_b,113.80786720940088,1.0169836548099392e-07,0.31106953723250186
all_peak_b,109.16830055957617,1.060204657830849e-07,0.5665738190166607
all_peak_b,104.71787354680782,1.1052625193826708e-07,0.7172974726416079
