baseline,test_auroc,test_ap,validation_fpr5_threshold,test_null_fpr,runtime_sec,tau_days,test_auroc_main_benchmark,auroc_delta
weighted_harmonic_regression,0.5008700642791553,0.4846176881564762,95.55615801844245,0.05,9.02246995799942,30.0,0.6996533516988063,-0.198783287419651
generalized_lomb_scargle,0.4955693296602388,0.4885766101355551,94.81528010921642,0.05,8.975540333001845,30.0,0.72428145087236,-0.22871212121212114
hierarchical_sinusoid_jitter,0.49334022038567493,0.4900599389644585,6.958917084749557,0.04242424242424243,9.145625875000405,30.0,0.7738039485766759,-0.28046372819100096
random_forest_periodogram_features,0.46630280073461894,0.47337861433732675,0.62,0.0696969696969697,1.4953955419987324,30.0,0.7119582185491276,-0.24565541781450861
sbi_npe,0.48408402203856754,0.48769422550786423,0.7074218749999996,0.03484848484848485,19.705026416999317,30.0,0.7930429292929292,-0.30895890725436165
neural_cnn,0.489194214876033,0.4862940428855334,0.8176007986068725,0.04242424242424243,1.9426613329997053,30.0,0.758032598714417,-0.268838383838384
neural_transformer,0.5014462809917355,0.4966035630518253,0.5226768702268599,0.05,0.7332578749992535,30.0,0.7688108356290174,-0.2673645546372819
weighted_harmonic_regression,0.5034090909090909,0.4865555427154255,95.55615801844245,0.05,9.140028207999421,90.0,0.6996533516988063,-0.19624426078971535
generalized_lomb_scargle,0.4997222222222221,0.4908594073094742,94.81528010921642,0.05,9.072782958999596,90.0,0.72428145087236,-0.22455922865013783
hierarchical_sinusoid_jitter,0.5101170798898071,0.5059944026837778,6.958917084749557,0.04242424242424243,9.123825250000664,90.0,0.7738039485766759,-0.26368686868686875
random_forest_periodogram_features,0.46891528925619835,0.4761522548719129,0.62,0.0696969696969697,1.3904419999998936,90.0,0.7119582185491276,-0.2430429292929292
sbi_npe,0.5039956382001837,0.5050501344499895,0.7074218749999996,0.03484848484848485,20.074246042000595,90.0,0.7930429292929292,-0.2890472910927455
neural_cnn,0.4978535353535354,0.4976938555672725,0.8176007986068725,0.04242424242424243,1.905144084001222,90.0,0.758032598714417,-0.2601790633608816
neural_transformer,0.5039164370982553,0.5009564292173869,0.5226768702268599,0.05,0.7398362080020888,90.0,0.7688108356290174,-0.26489439853076213
weighted_harmonic_regression,0.5314049586776859,0.5086688910609901,95.55615801844245,0.05,9.15322041699983,180.0,0.6996533516988063,-0.16824839302112038
generalized_lomb_scargle,0.5369123048668503,0.5227812203654887,94.81528010921642,0.05,8.82477391700013,180.0,0.72428145087236,-0.1873691460055097
hierarchical_sinusoid_jitter,0.585376492194674,0.614403025827166,6.958917084749557,0.04242424242424243,9.744574750002357,180.0,0.7738039485766759,-0.18842745638200187
random_forest_periodogram_features,0.5018939393939393,0.5120591908385976,0.62,0.0696969696969697,1.36151045799852,180.0,0.7119582185491276,-0.21006427915518822
sbi_npe,0.5982575757575758,0.6425642300286827,0.7074218749999996,0.03484848484848485,18.972308458000043,180.0,0.7930429292929292,-0.19478535353535342
neural_cnn,0.5649885215794307,0.5915376117148365,0.8176007986068725,0.04242424242424243,2.0808728329975565,180.0,0.758032598714417,-0.19304407713498628
neural_transformer,0.567653810835629,0.5975818056778633,0.5226768702268599,0.05,0.7747647920004965,180.0,0.7688108356290174,-0.20115702479338837
