baseline,period_days,frequency_hz,a95_hz,a95_bootstrap_median_hz,a95_lower_hz,a95_upper_hz,a95_std_hz,bootstrap_replicates,finite_bootstrap_replicates,n_test_phases_per_cell,uncertainty_source
random_forest_periodogram_features,7.0,1.6534391534391535e-06,4175.0,4175.0,3150.0,4337.5,531.0853274192386,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
random_forest_periodogram_features,10.0,1.1574074074074074e-06,3116.6666666666665,3116.6666666666665,3075.0,3137.5,288.7815833496735,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
random_forest_periodogram_features,14.0,8.267195767195768e-07,2950.0,2950.0,2141.6666666666665,3075.0,549.7358405906069,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
random_forest_periodogram_features,21.0,5.511463844797178e-07,3075.0,3075.0,2950.0,3116.6666666666665,469.4107368730147,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
random_forest_periodogram_features,30.0,3.8580246913580245e-07,2112.5,2112.5,2025.0,2143.9999999999995,361.6038333425419,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
random_forest_periodogram_features,45.0,2.57201646090535e-07,3075.0,3075.0,2950.0,3116.6666666666665,371.6850217991856,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
random_forest_periodogram_features,60.0,1.9290123456790122e-07,4175.0,3116.6666666666665,2156.25,4337.5,917.1704828722321,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
random_forest_periodogram_features,90.0,1.286008230452675e-07,3075.0,3075.0,2950.0,3116.6666666666665,255.56069462284515,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
random_forest_periodogram_features,120.0,9.645061728395061e-08,2141.6666666666665,2141.6666666666665,2112.5,2156.25,207.2452102700111,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
random_forest_periodogram_features,180.0,6.430041152263375e-08,3137.5,3150.0,3116.6666666666665,3150.0,127.22448955365276,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
random_forest_periodogram_features,240.0,4.8225308641975306e-08,6000.0,6000.0,4175.0,6250.0,1071.7843008597602,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
random_forest_periodogram_features,365.0,3.1709791983764586e-08,2950.0,2950.0,2141.6666666666665,3075.0,526.4677311811238,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell
