baseline,period_days,frequency_hz,roc_auc_at_period,average_precision_at_period,validation_fpr5_threshold,tpr_at_validation_fpr_5pct,a95_hz,a95_lower_hz,a95_upper_hz,n_test_signal,n_test_null
weighted_harmonic_regression,30.0,3.858024691358025e-07,0.7665289256198348,0.4692900119930714,95.55615801844245,0.4181818181818181,2950.0,2025.0,3075.0,55,660
weighted_harmonic_regression,180.0,6.430041152263375e-08,0.5992837465564738,0.2110042595300895,95.55615801844245,0.2,4418.75,4391.666666666666,4435.0,55,660
generalized_lomb_scargle,30.0,3.858024691358025e-07,0.7618457300275481,0.4802725778446925,94.81528010921642,0.4181818181818181,2950.0,2025.0,3075.0,55,660
generalized_lomb_scargle,180.0,6.430041152263375e-08,0.7208264462809917,0.4210203421188352,94.81528010921642,0.3454545454545454,3075.0,2950.0,3116.6666666666665,55,660
hierarchical_sinusoid_jitter,30.0,3.858024691358025e-07,0.8247933884297521,0.6507639244056399,6.958917084749557,0.6181818181818182,968.75,937.5,979.1666666666666,55,660
hierarchical_sinusoid_jitter,180.0,6.430041152263375e-08,0.7274931129476584,0.4489710104643298,6.958917084749557,0.4181818181818181,2950.0,2156.25,3075.0,55,660
random_forest_periodogram_features,30.0,3.858024691358025e-07,0.781198347107438,0.5132535695605838,0.62,0.509090909090909,2112.5,2025.0,2143.9999999999995,55,660
random_forest_periodogram_features,180.0,6.430041152263375e-08,0.6886914600550964,0.3310886917053015,0.62,0.3272727272727272,3137.5,3116.6666666666665,3150.0,55,660
sbi_npe,30.0,3.858024691358025e-07,0.826900826446281,0.6687116094694401,0.7074218749999996,0.6,1458.3333333333333,1375.0,1468.75,55,660
sbi_npe,180.0,6.430041152263375e-08,0.8376584022038567,0.664716566351438,0.7074218749999996,0.6,979.1666666666666,968.75,984.375,55,660
neural_transformer,30.0,3.858024691358025e-07,0.7736363636363636,0.5839042897272211,0.522676771879196,0.5454545454545454,1458.3333333333333,1437.5,1468.75,55,660
neural_transformer,180.0,6.430041152263375e-08,0.7864738292011019,0.6012778448279456,0.522676771879196,0.5818181818181818,2112.5,984.375,2141.6666666666665,55,660
