null_model,distribution,is_default,scope,observed_score,best_period_days,null_score_p95,observed_empirical_p_value,model_note
formal_gaussian_scaled,gaussian,False,all_peak_b,7.905142935176965,15.436079438265484,7.01147122619308,0.029239766081871343,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
formal_gaussian_scaled,gaussian,False,peak_b_c10_c13,1.16902897571057,7.930950604151352,6.58331311286077,0.9961013645224172,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
formal_gaussian_scaled,gaussian,False,peak_b_x2,14.679198925546766,15.436079438265484,5.933081826255587,0.001949317738791423,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
crystal_gaussian_jitter,gaussian,False,all_peak_b,3.233822559357261,25.435824793983336,6.913677530907004,0.6393762183235867,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
crystal_gaussian_jitter,gaussian,False,peak_b_c10_c13,1.8614734261347703,7.930950604151352,6.542034785022384,0.9473684210526315,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
crystal_gaussian_jitter,gaussian,False,peak_b_x2,9.866401491344277,15.436079438265484,6.463906425479618,0.001949317738791423,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
crystal_student_t_jitter,student_t,False,all_peak_b,4.469622478904434,25.435824793983336,16.049121982662122,0.7875243664717348,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
crystal_student_t_jitter,student_t,False,peak_b_c10_c13,2.642347614409003,7.930950604151352,14.444470936414252,0.9473684210526315,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
crystal_student_t_jitter,student_t,False,peak_b_x2,12.470169467155472,15.436079438265484,14.63646923197163,0.08966861598440545,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
crystal_student_t_fitted_df,student_t_target_df,False,all_peak_b,3.467370114838655,25.435824793983336,9.840644184524885,0.8089668615984406,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
crystal_student_t_fitted_df,student_t_target_df,False,peak_b_c10_c13,2.2880994329081226,7.930950604151352,9.87182551252051,0.9473684210526315,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
crystal_student_t_fitted_df,student_t_target_df,False,peak_b_x2,9.98664138917977,15.436079438265484,6.770855488009287,0.005847953216374269,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
crystal_gaussian_x2_mixture,x2_gaussian_mixture,True,all_peak_b,3.0952591633817335,25.435824793983336,6.801260081664115,0.6744639376218323,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
crystal_gaussian_x2_mixture,x2_gaussian_mixture,True,peak_b_c10_c13,1.8614734261347703,7.930950604151352,6.542034785022384,0.9473684210526315,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
crystal_gaussian_x2_mixture,x2_gaussian_mixture,True,peak_b_x2,9.307925935230454,15.436079438265484,6.2561834694013765,0.003898635477582846,"The strongest observed-series score is X2-dominated; this is treated as scatter/model mismatch, not a signal."
