baseline,period_days,frequency_hz,a95_hz,a95_bootstrap_median_hz,a95_lower_hz,a95_upper_hz,a95_std_hz,bootstrap_replicates,finite_bootstrap_replicates,n_test_phases_per_cell,uncertainty_source,tau_days
weighted_harmonic_regression,7.0,1.6534391534391535e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
weighted_harmonic_regression,10.0,1.1574074074074074e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
weighted_harmonic_regression,14.0,8.267195767195768e-07,,492.5,492.5,559.4000000000001,585.2530849721236,500,7,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
weighted_harmonic_regression,21.0,5.511463844797178e-07,,195.0,195.0,195.0,0.0,500,3,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
weighted_harmonic_regression,30.0,3.8580246913580245e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
weighted_harmonic_regression,45.0,2.57201646090535e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
weighted_harmonic_regression,60.0,1.9290123456790122e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
weighted_harmonic_regression,90.0,1.286008230452675e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
weighted_harmonic_regression,120.0,9.645061728395061e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
weighted_harmonic_regression,180.0,6.430041152263375e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
weighted_harmonic_regression,240.0,4.8225308641975306e-08,,1475.0,1475.0,1475.0,0.0,500,2,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
weighted_harmonic_regression,365.0,3.1709791983764586e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
generalized_lomb_scargle,7.0,1.6534391534391535e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
generalized_lomb_scargle,10.0,1.1574074074074074e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
generalized_lomb_scargle,14.0,8.267195767195768e-07,,492.5,492.5,559.4000000000001,585.2530849721236,500,7,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
generalized_lomb_scargle,21.0,5.511463844797178e-07,,464.6875,281.3,648.075,269.6875,500,2,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
generalized_lomb_scargle,30.0,3.8580246913580245e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
generalized_lomb_scargle,45.0,2.57201646090535e-07,,987.5,987.5,987.5,0.0,500,3,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
generalized_lomb_scargle,60.0,1.9290123456790122e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
generalized_lomb_scargle,90.0,1.286008230452675e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
generalized_lomb_scargle,120.0,9.645061728395061e-08,,2165.0,1364.3,2165.0,555.0788232314399,500,3,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
generalized_lomb_scargle,180.0,6.430041152263375e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
generalized_lomb_scargle,240.0,4.8225308641975306e-08,,1475.0,1475.0,1475.0,0.0,500,4,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
generalized_lomb_scargle,365.0,3.1709791983764586e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
hierarchical_sinusoid_jitter,7.0,1.6534391534391535e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
hierarchical_sinusoid_jitter,10.0,1.1574074074074074e-06,,737.5,737.5,737.5,0.0,500,1,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
hierarchical_sinusoid_jitter,14.0,8.267195767195768e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
hierarchical_sinusoid_jitter,21.0,5.511463844797178e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
hierarchical_sinusoid_jitter,30.0,3.8580246913580245e-07,,2165.0,2165.0,2165.0,0.0,500,1,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
hierarchical_sinusoid_jitter,45.0,2.57201646090535e-07,,987.5,987.5,987.5,0.0,500,23,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
hierarchical_sinusoid_jitter,60.0,1.9290123456790122e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
hierarchical_sinusoid_jitter,90.0,1.286008230452675e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
