scan_time_raw,correction,laser,fitting_function,sweep_range_khz,linear_baseline_subtraction,peak,target,fwhm_khz,fwhm_unc_khz,amp,amp_unc,baseline,baseline_unc,chisq_red,freq_hz,freq_unc_hz,temp_k,scan_time_utc,time_unix_s,mjd,scan_id,days_since_first_observation,seconds_since_first_observation,folder_name,has_data,has_data_corr,has_fits,has_intensity,n_files,files,selection_reason,canonical_strategy,temperature_model_available,temperature_model_source,temperature_trend_hz,temperature_residual_hz,target_peak_offset_hz,residual_hz,residual_abs_z
2024-05-30 04:13:20+00:00,mem,fceo lock,lorentzian,100,none,b,X2,142.64999502608535,23.83542096362484,100.22204589508618,9.183541698556136,433.0788456962976,4.292033952687706,47.44716702376856,2020407298727846.5,11385.972065804945,150.0,2024-05-30 04:13:20+00:00,1717042400.0,60460.17592592593,2024-05-30T04:13:20Z__X2__b,0.0,0.0,2024_05_30_X2_peakb_CT,True,False,True,False,2,"['2024_05_30_X2_peakb_CT_data.pkl', '2024_05_30_X2_peakb_CT_fits.pkl']",mem_fallback_missing_mem_int,mem_int_else_mem_fallback,True,data_derived_from_canonical_C10_C13,2020407298719970.0,7876.5,5873.088977846701,2003.4110221532992,0.17595432437165967
2024-05-31 06:06:02+00:00,mem,fceo lock,lorentzian,100,none,b,X2,132.91832295398552,13.924208383167178,699.9999999999999,43.19950370388247,443.86385436464013,14.366652137302504,337.3139267798942,2020407298728327.2,5276.398029673223,150.0,2024-05-31 06:06:02+00:00,1717135562.0,60461.25418981482,2024-05-31T06:06:02Z__X2__b,1.078263888888889,93162.0,2024_05_31_X2_peakb_CT,True,False,True,False,2,"['2024_05_31_X2_peakb_CT_data.pkl', '2024_05_31_X2_peakb_CT_fits.pkl']",mem_fallback_missing_mem_int,mem_int_else_mem_fallback,True,data_derived_from_canonical_C10_C13,2020407298719970.0,8357.25,5873.088977846701,2484.161022153299,0.4708062220065585
2024-06-24 21:05:24+00:00,mem int,fceo lock,lorentzian,100,none,b,X2,127.40322122716422,22.06113223948567,699.9999999999974,89.94169214475271,402.6677172093592,12.44159722758833,582.3898197541364,2020407298801948.8,5882.520727372437,293.1,2024-06-24 21:05:24+00:00,1719263124.0,60485.87875,2024-06-24T21:05:24Z__X2__b,25.702824074074073,2220724.0,2024_06_24_X2_peakb_RT,True,False,True,False,2,"['2024_06_24_X2_peakb_RT_data.pkl', '2024_06_24_X2_peakb_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,True,data_derived_from_canonical_C10_C13,2020407298784614.2,17334.5,5873.088977846701,11461.4110221533,1.9483842987278008
2024-06-25 20:25:39+00:00,mem int,fceo lock,lorentzian,100,none,b,X2,153.44138145777285,65.29335207017684,509.54046098102293,125.47009122320608,467.00000000000006,39.56178436646885,3021.6878981092545,2020407298733626.8,13510.464407019634,150.51,2024-06-25 20:25:39+00:00,1719347139.0,60486.85114583334,2024-06-25T20:25:39Z__X2__b,26.675219907407406,2304739.0,2024_06_25_X2_peakb_CT,True,False,True,False,2,"['2024_06_25_X2_peakb_CT_data.pkl', '2024_06_25_X2_peakb_CT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,True,data_derived_from_canonical_C10_C13,2020407298719559.5,14067.25,5873.088977846701,8194.1610221533,0.6065047636627396
2024-07-05 19:58:34+00:00,mem int,fceo lock,lorentzian,100,none,b,X2,113.21979207615468,10.511865648032826,533.5020357217393,27.52952041447972,442.00000000000995,9.528245031348192,210.99418102007533,2020407298713067.2,4038.8809972706567,229.3,2024-07-05 19:58:34+00:00,1720209514.0,60496.83233796296,2024-07-05T19:58:34Z__X2__b,36.656412037037036,3167114.0,2024_07_05_X2_peakb_DT,True,False,True,False,2,"['2024_07_05_X2_peakb_DT_data.pkl', '2024_07_05_X2_peakb_DT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,True,data_derived_from_canonical_C10_C13,2020407298711202.8,1864.5,5873.088977846701,-4008.588977846701,0.9924998980053074
2024-10-22 17:54:14+00:00,mem int,Menlo lock,lorentzian,none,none,b,X2,108.33376496777475,5.959463766874634,818.5410688150158,28.726561784714168,325.00000000000006,10.175356510851532,140.4021456395406,2020407298789906.8,1808.7726797261505,293.0,2024-10-22 17:54:14+00:00,1729619654.0,60605.745995370366,2024-10-22T17:54:14Z__X2__b,145.57006944444444,12577254.0,2024_10_22_X2_peakb_RT,True,False,True,False,2,"['2024_10_22_X2_peakb_RT_data.pkl', '2024_10_22_X2_peakb_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,True,data_derived_from_canonical_C10_C13,2020407298784443.0,5463.75,5873.088977846701,-409.3389778467008,0.22630758548867236
2024-11-01 20:30:51+00:00,mem int,Menlo lock,lorentzian,none,none,b,X2,105.2978752563956,10.897502368237518,482.20948028320487,31.685568971627283,367.1534585027685,15.557980015140371,217.1099144078556,2020407298783733.5,3488.595954050072,291.5,2024-11-01 20:30:51+00:00,1730493051.0,60615.85475694445,2024-11-01T20:30:51Z__X2__b,155.6788310185185,13450651.0,2024_11_01_X2_peakb_RT,True,False,True,False,2,"['2024_11_01_X2_peakb_RT_data.pkl', '2024_11_01_X2_peakb_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,True,data_derived_from_canonical_C10_C13,2020407298781896.0,1837.5,5873.088977846701,-4035.588977846701,1.1567946047640167
2024-11-12 00:21:56+00:00,mem int,Menlo lock,lorentzian,none,none,b,X2,97.51062726734294,4.178367968735833,397.7165226587756,9.249564553760807,339.4474150795326,4.530140343484893,33.144393793873476,2020407298787546.5,1048.1762999915484,290.7,2024-11-12 00:21:56+00:00,1731370916.0,60626.01523148148,2024-11-12T00:21:56Z__X2__b,165.83930555555557,14328516.0,2024_11_11_X2_peakb_RT,True,True,True,False,3,"['2024_11_11_X2_peakb_RT_data.pkl', '2024_11_11_X2_peakb_RT_data_corr.pkl', '2024_11_11_X2_peakb_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,True,data_derived_from_canonical_C10_C13,2020407298780553.8,6992.75,5873.088977846701,1119.6610221532992,1.0681991399369812
2024-11-19 22:30:02+00:00,mem int,Menlo lock,lorentzian,none,none,b,X2,124.04482843622696,13.393675852273915,265.1653973365344,14.429045722345885,349.0468420086226,9.16498438800564,106.97695592240756,2020407298733964.8,3198.2139731851685,135.0,2024-11-19 22:30:02+00:00,1732055402.0,60633.93752314815,2024-11-19T22:30:02Z__X2__b,173.76159722222224,15013002.0,2024_11_19_X2_peakb_135K,True,False,True,False,2,"['2024_11_19_X2_peakb_135K_data.pkl', '2024_11_19_X2_peakb_135K_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,True,data_derived_from_canonical_C10_C13,2020407298734095.2,-130.5,5873.088977846701,-6003.588977846701,1.8771692664038986
2024-11-20 22:20:34+00:00,mem int,Menlo lock,lorentzian,none,none,b,X2,110.31312643734051,8.149661860061897,266.99963943845086,10.197834513620023,306.5809881448207,5.808794687894034,54.65594522443446,2020407298788969.5,1978.8631803393837,293.5,2024-11-20 22:20:34+00:00,1732141234.0,60634.93094907407,2024-11-20T22:20:34Z__X2__b,174.75502314814815,15098834.0,2024_11_20_X2_peakb_RT,True,False,True,False,2,"['2024_11_20_X2_peakb_RT_data.pkl', '2024_11_20_X2_peakb_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,True,data_derived_from_canonical_C10_C13,2020407298785300.8,3668.75,5873.088977846701,-2204.338977846701,1.1139420854091828
