scan_time_raw,correction,laser,fitting_function,sweep_range_khz,linear_baseline_subtraction,peak,target,fwhm_khz,fwhm_unc_khz,amp,amp_unc,baseline,baseline_unc,chisq_red,freq_hz,freq_unc_hz,temp_k,scan_time_utc,time_unix_s,mjd,scan_id,days_since_first_observation,seconds_since_first_observation,folder_name,has_data,has_data_corr,has_fits,has_intensity,n_files,files,selection_reason,canonical_strategy,strict_qc_threshold
2024-11-26 00:18:01+00:00,mem int,Menlo lock,lorentzian,none,3,b,C13,39.08307096891664,6.454795053161531,48.91649767376106,4.804774303898322,893.1724915289174,1.325455795270566,2.135298574821122,2020407298780630.0,2169.9551337393455,293.9,2024-11-26 00:18:01+00:00,1732580281.0,60640.012511574074,2024-11-26T00:18:01Z__C13__b,179.83658564814814,15537881.0,2024_11_25_C13_peakb_RT,True,True,True,False,3,"['2024_11_25_C13_peakb_RT_data.pkl', '2024_11_25_C13_peakb_RT_data_corr.pkl', '2024_11_25_C13_peakb_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,10.0
2024-11-26 22:07:04+00:00,mem int,Menlo lock,lorentzian,none,30,b,C13,41.25568690007649,2.99846324589336,191.172674983122,6.8484417658186905,1060.361650333814,2.4894663575988405,6.153007916250016,2020407298724305.5,743.7289461142798,143.04,2024-11-26 22:07:04+00:00,1732658824.0,60640.92157407408,2024-11-26T22:07:04Z__C13__b,180.74564814814815,15616424.0,2024_11_26_C13_peakb_144K,True,True,True,False,3,"['2024_11_26_C13_peakb_144K_data.pkl', '2024_11_26_C13_peakb_144K_data_corr.pkl', '2024_11_26_C13_peakb_144K_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,10.0
2024-11-27 00:39:18+00:00,mem int,Menlo lock,lorentzian,none,none,b,C13,32.79359242303467,3.978772934325968,253.8767786723147,22.083292910646655,1097.2789306168822,2.9897857755390937,8.381976144973688,2020407298727308.8,839.2415801046259,143.04,2024-11-27 00:39:18+00:00,1732667958.0,60641.027291666665,2024-11-27T00:39:18Z__C13__b,180.85136574074073,15625558.0,2024_11_26_C13_peakb_144K_reverse,True,False,True,False,2,"['2024_11_26_C13_peakb_144K_reverse_data.pkl', '2024_11_26_C13_peakb_144K_reverse_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,10.0
2024-12-02 22:52:41+00:00,mem int,Menlo lock,lorentzian,none,26,c,C13,61.691191966634,8.451830594787598,67.58748697941314,5.403126744797837,873.184738933915,2.4048505828234115,5.710985371855559,2020407444551890.0,2508.8686493075793,293.8,2024-12-02 22:52:41+00:00,1733179961.0,60646.953252314815,2024-12-02T22:52:41Z__C13__c,186.7773263888889,16137561.0,2024_12_02_C13_peakc_RT,True,True,True,False,3,"['2024_12_02_C13_peakc_RT_data.pkl', '2024_12_02_C13_peakc_RT_data_corr.pkl', '2024_12_02_C13_peakc_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,10.0
2024-12-03 22:19:31+00:00,mem int,Menlo lock,lorentzian,none,28,c,C13,45.737568109552114,9.477221648137313,62.17850106632109,7.28485082103139,1031.324648720586,1.9615123422362168,3.3946449245805206,2020407447018784.8,1602.260929573324,142.44,2024-12-03 22:19:31+00:00,1733264371.0,60647.93021990741,2024-12-03T22:19:31Z__C13__c,187.75429398148148,16221971.0,2024_12_03_C13_peakc_143K,True,False,True,False,2,"['2024_12_03_C13_peakc_143K_data.pkl', '2024_12_03_C13_peakc_143K_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,10.0
2024-12-06 23:05:04+00:00,mem int,Menlo lock,lorentzian,none,none,c,C13,57.73695533203726,3.98144593983303,95.47870856417327,3.845609565746851,901.2084597018356,1.6085597269861944,2.5527637895026603,2020407444552774.0,1177.5266889183647,293.3,2024-12-06 23:05:04+00:00,1733526304.0,60650.961851851855,2024-12-06T23:05:04Z__C13__c,190.78592592592594,16483904.0,2024_12_06_C13_peakc_RT,True,False,True,False,2,"['2024_12_06_C13_peakc_RT_data.pkl', '2024_12_06_C13_peakc_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,10.0
2025-02-12 18:47:44+00:00,mem int,Menlo lock,lorentzian,none,none,c,C10,45.0754791107087,9.945796153311704,21.068481676820372,3.0288517839083107,263.99999999999994,1.6401483756891158,5.335916993408221,2020407444548760.8,2510.672842649145,293.5,2025-02-12 18:47:44+00:00,1739386064.0,60718.78314814815,2025-02-12T18:47:44Z__C10__c,258.6072222222222,22343664.0,2025_02_12_C10_peakc_RT,True,False,True,False,2,"['2025_02_12_C10_peakc_RT_data.pkl', '2025_02_12_C10_peakc_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,10.0
2025-02-12 23:10:40+00:00,mem int,Menlo lock,lorentzian,none,none,b,C10,30.052574776350585,5.318715068162073,28.11747976019463,2.601250250645422,266.62371280043925,1.8056517810542476,7.898421562776897,2020407298788796.8,1133.2381122473498,293.5,2025-02-12 23:10:40+00:00,1739401840.0,60718.965740740736,2025-02-12T23:10:40Z__C10__b,258.7898148148148,22359440.0,2025_02_12_C10_peakb_RT,True,False,True,False,2,"['2025_02_12_C10_peakb_RT_data.pkl', '2025_02_12_C10_peakb_RT_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,10.0
2025-02-14 19:21:14+00:00,mem int,Menlo lock,lorentzian,none,6,b,C10,17.862632889165546,2.7733350468411215,28.30992914945925,2.3483864426654897,296.16538384816295,1.0593130277571765,4.056208524885157,2020407298724760.0,707.5211130295613,145.0,2025-02-14 19:21:14+00:00,1739560874.0,60720.80641203704,2025-02-14T19:21:14Z__C10__b,260.6304861111111,22518474.0,2025_02_14_C10_peakb_145K,True,True,True,False,3,"['2025_02_14_C10_peakb_145K_data.pkl', '2025_02_14_C10_peakb_145K_data_corr.pkl', '2025_02_14_C10_peakb_145K_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,10.0
2025-02-25 06:32:15+00:00,mem int,Menlo lock,lorentzian,none,none,b,C10,33.020297131646664,3.600469591869327,42.28844883156491,2.1069257836882342,303.8758173512282,1.4081365689799457,4.619048507458212,2020407298706596.0,834.3466879394875,175.0,2025-02-25 06:32:15+00:00,1740465135.0,60731.27239583334,2025-02-25T06:32:15Z__C10__b,271.0964699074074,23422735.0,2025_02_24_C10_peakb_175K,True,True,True,False,3,"['2025_02_24_C10_peakb_175K_data.pkl', '2025_02_24_C10_peakb_175K_data_corr.pkl', '2025_02_24_C10_peakb_175K_fits.pkl']",mem_int_available,mem_int_else_mem_fallback,10.0
